Time, PoorSignal, Attention, Meditation
16:33:02, 0, 35, 43
16:33:03, 0, 29, 44
16:33:04, 0, 29, 54
16:33:05, 0, 23, 48
16:33:07, 0, 27, 63
16:33:08, 0, 26, 69
16:33:09, 0, 26, 56
16:33:10, 0, 29, 43
16:33:11, 0, 29, 44
16:33:12, 0, 30, 23
16:33:14, 0, 34, 37
16:33:15, 0, 30, 54
16:33:16, 0, 34, 44
16:33:17, 0, 47, 57
16:33:18, 0, 53, 53
16:33:19, 0, 66, 61
16:33:20, 0, 74, 63
16:33:21, 0, 61, 61
16:33:23, 0, 60, 61
16:33:24, 0, 41, 27
16:33:25, 0, 41, 23
16:33:26, 0, 53, 27
16:33:27, 0, 50, 21
16:33:28, 0, 80, 41
16:33:29, 0, 78, 43
16:33:30, 0, 93, 41
16:33:31, 0, 91, 47
16:33:32, 0, 88, 51
16:33:33, 0, 88, 70
16:33:34, 0, 69, 83
16:33:35, 26, 69, 83
16:33:36, 0, 66, 88
16:33:37, 0, 56, 87
16:33:38, 0, 48, 70
16:33:38, 0, 50, 74
16:33:39, 0, 53, 50
16:33:40, 0, 43, 48
16:33:41, 0, 38, 54
16:33:42, 0, 37, 43
16:33:43, 0, 41, 69
16:33:44, 0, 38, 64
16:33:44, 0, 35, 61
16:33:45, 0, 21, 51
16:33:46, 0, 13, 40
16:33:47, 0, 24, 44
16:33:48, 0, 27, 40
16:33:49, 0, 35, 48
16:33:50, 0, 43, 48
16:33:51, 0, 35, 41
16:33:52, 0, 44, 47
16:33:53, 0, 40, 61
16:33:54, 0, 35, 78
16:33:55, 0, 26, 83
16:33:56, 0, 11, 80
16:33:57, 0, 8, 64
16:33:58, 0, 4, 63
16:33:59, 0, 20, 66
16:34:00, 0, 21, 53
16:34:01, 0, 30, 63
16:34:02, 0, 43, 67
16:34:03, 0, 35, 64
16:34:04, 0, 43, 64
16:34:05, 0, 41, 51
16:34:06, 0, 30, 37
16:34:07, 0, 35, 38
16:34:08, 0, 35, 56
16:34:09, 0, 38, 60
16:34:10, 0, 51, 70
16:34:11, 0, 57, 83
16:34:12, 0, 50, 90
16:34:13, 0, 60, 96
16:34:14, 0, 54, 88
16:34:15, 0, 56, 75
16:34:16, 0, 67, 61
16:34:17, 0, 54, 66
16:34:18, 0, 44, 60
16:34:19, 0, 38, 61
16:34:20, 0, 35, 61
16:34:21, 0, 35, 50
16:34:22, 0, 40, 53
16:34:23, 0, 51, 56
16:34:24, 0, 47, 48
16:34:25, 0, 57, 56
16:34:26, 0, 56, 61
16:34:27, 0, 56, 69
16:34:28, 0, 64, 80
16:34:29, 0, 50, 61
16:34:30, 0, 44, 70
16:34:31, 0, 34, 63
16:34:32, 0, 21, 70
16:34:33, 0, 26, 87
16:34:34, 0, 34, 83
16:34:35, 0, 35, 77
16:34:36, 0, 48, 67
16:34:37, 26, 48, 67
16:34:38, 0, 48, 57
16:34:39, 0, 40, 53
16:34:40, 51, 40, 53
16:34:41, 0, 40, 63
16:34:42, 0, 20, 57
16:34:43, 0, 27, 53
16:34:44, 0, 37, 44
16:34:45, 0, 34, 27
16:34:46, 0, 50, 29
16:34:47, 0, 50, 37
16:34:48, 0, 41, 26
16:34:49, 0, 51, 47
16:34:50, 0, 50, 44
16:34:51, 0, 44, 44
16:34:52, 0, 63, 74
16:34:53, 0, 69, 64
16:34:54, 0, 57, 61
16:34:55, 0, 78, 63
16:34:56, 0, 64, 50
16:34:57, 0, 60, 47
16:34:58, 0, 78, 60
16:34:59, 0, 57, 63
16:35:00, 0, 63, 67
16:35:01, 0, 57, 66
16:35:02, 0, 47, 57
16:35:03, 0, 60, 53
16:35:04, 0, 61, 38
16:35:05, 0, 47, 38
16:35:06, 0, 53, 38
16:35:07, 0, 40, 29
16:35:08, 0, 41, 48
16:35:09, 0, 56, 60
16:35:10, 0, 43, 67
16:35:11, 0, 47, 70
16:35:12, 0, 43, 57
16:35:13, 0, 40, 44
16:35:14, 0, 54, 35
16:35:15, 0, 57, 38
16:35:16, 0, 57, 47
16:35:17, 0, 60, 48
16:35:18, 0, 61, 54
16:35:19, 0, 56, 51
16:35:20, 0, 63, 70
16:35:21, 0, 63, 70
16:35:22, 0, 40, 60
16:35:23, 0, 50, 75
16:35:24, 0, 47, 60
16:35:25, 0, 41, 61
16:35:26, 0, 56, 69
16:35:27, 0, 51, 61
16:35:28, 0, 56, 47
16:35:29, 0, 61, 50
16:35:30, 0, 50, 41
16:35:31, 0, 48, 44
16:35:32, 0, 54, 57
16:35:33, 0, 43, 51
16:35:34, 0, 44, 60
16:35:35, 0, 50, 61
16:35:36, 0, 27, 63
16:35:37, 0, 47, 75
16:35:38, 0, 41, 66
16:35:39, 0, 44, 60
16:35:40, 0, 40, 57
16:35:41, 0, 29, 48
16:35:42, 0, 35, 47
16:35:43, 0, 27, 56
16:35:44, 0, 30, 69
16:35:45, 0, 23, 75
16:35:46, 0, 24, 90
16:35:47, 0, 10, 90
16:35:48, 0, 14, 77
16:35:49, 0, 27, 88
16:35:50, 0, 27, 88
16:35:51, 0, 24, 66
16:35:52, 0, 26, 74
16:35:53, 0, 24, 57
16:35:54, 0, 37, 60
16:35:55, 0, 64, 77
16:35:56, 0, 74, 66
16:35:57, 0, 66, 56
16:35:58, 0, 67, 61
16:35:59, 0, 48, 70
16:36:00, 0, 41, 88
16:36:01, 0, 50, 83
16:36:02, 0, 40, 78
16:36:03, 0, 51, 61
16:36:04, 0, 48, 43
16:36:05, 0, 41, 41
16:36:06, 0, 40, 26
16:36:07, 0, 35, 30
16:36:08, 0, 40, 40
16:36:09, 0, 43, 48
16:36:10, 0, 29, 47
16:36:11, 0, 30, 40
16:36:11, 0, 37, 51
16:36:12, 0, 29, 54
16:36:14, 0, 54, 66
16:36:14, 0, 47, 69
16:36:15, 0, 43, 61
16:36:16, 0, 48, 51
16:36:17, 0, 40, 51
16:36:18, 0, 48, 50
16:36:19, 0, 47, 48
16:36:20, 0, 41, 50
16:36:21, 0, 40, 64
16:36:22, 0, 37, 63
16:36:23, 0, 29, 64
16:36:24, 0, 29, 75
16:36:25, 0, 20, 53
16:36:26, 0, 37, 50
16:36:27, 0, 51, 54
16:36:28, 0, 61, 43
16:36:29, 0, 74, 50
16:36:30, 0, 64, 63
16:36:31, 0, 60, 64
16:36:32, 0, 63, 70
16:36:33, 0, 64, 81
16:36:34, 0, 53, 77
16:36:35, 0, 56, 70
16:36:36, 0, 51, 64
16:36:37, 0, 48, 57
16:36:38, 0, 56, 56
16:36:39, 0, 44, 51
16:36:40, 0, 44, 56
16:36:41, 0, 53, 44
16:36:42, 0, 57, 40
16:36:43, 0, 63, 48
16:36:44, 0, 64, 43
16:36:45, 0, 51, 64
16:36:46, 0, 56, 69
16:36:47, 0, 64, 66
16:36:48, 0, 61, 64
16:36:49, 0, 70, 61
16:36:50, 0, 56, 53
