Time, PoorSignal, Attention, Meditation
13:28:21, 0, 23, 53
13:28:22, 0, 34, 53
13:28:23, 0, 37, 53
13:28:24, 0, 34, 69
13:28:25, 0, 56, 67
13:28:26, 0, 61, 57
13:28:27, 0, 69, 69
13:28:28, 0, 66, 53
13:28:29, 0, 69, 60
13:28:30, 0, 60, 63
13:28:31, 0, 53, 53
13:28:32, 0, 64, 70
13:28:33, 0, 54, 61
13:28:34, 0, 61, 66
13:28:35, 0, 48, 78
13:28:36, 0, 37, 83
13:28:37, 0, 38, 94
13:28:38, 0, 38, 100
13:28:39, 0, 51, 97
13:28:40, 0, 43, 81
13:28:41, 0, 47, 74
13:28:42, 0, 44, 70
13:28:43, 0, 41, 64
13:28:44, 0, 67, 67
13:28:45, 0, 66, 69
13:28:46, 0, 61, 56
13:28:47, 0, 60, 51
13:28:48, 0, 44, 57
13:28:49, 0, 29, 56
13:28:50, 0, 26, 50
13:28:51, 0, 27, 53
13:28:52, 0, 34, 40
13:28:53, 0, 40, 50
13:28:54, 0, 43, 66
13:28:55, 0, 47, 75
13:28:56, 0, 40, 78
13:28:57, 0, 60, 74
13:28:58, 0, 69, 75
13:28:59, 0, 74, 80
13:29:00, 0, 87, 78
13:29:01, 0, 80, 83
13:29:02, 0, 75, 88
13:29:03, 0, 81, 80
13:29:04, 0, 69, 93
13:29:05, 0, 57, 87
13:29:06, 0, 61, 87
13:29:07, 0, 56, 80
13:29:08, 0, 54, 84
13:29:09, 0, 50, 83
13:29:10, 0, 41, 75
13:29:11, 0, 27, 63
13:29:12, 0, 29, 64
13:29:13, 0, 35, 78
13:29:14, 0, 35, 61
13:29:15, 0, 48, 80
13:29:16, 0, 43, 80
13:29:17, 0, 43, 77
13:29:18, 0, 47, 100
13:29:19, 0, 44, 100
13:29:20, 0, 43, 84
13:29:21, 0, 27, 67
13:29:22, 0, 40, 56
13:29:23, 0, 40, 56
13:29:24, 0, 47, 64
13:29:25, 0, 74, 80
13:29:26, 0, 70, 77
13:29:27, 0, 67, 69
13:29:28, 0, 69, 74
13:29:29, 0, 69, 67
13:29:30, 0, 56, 57
13:29:31, 0, 54, 64
13:29:32, 0, 47, 51
13:29:33, 0, 34, 57
13:29:34, 0, 44, 63
13:29:35, 0, 56, 56
13:29:36, 0, 40, 38
13:29:37, 0, 43, 17
13:29:38, 0, 38, 30
13:29:39, 0, 29, 43
13:29:40, 0, 48, 66
13:29:41, 0, 51, 87
13:29:42, 0, 51, 80
13:29:43, 0, 50, 64
13:29:44, 0, 48, 61
13:29:45, 0, 53, 50
13:29:46, 0, 50, 57
13:29:47, 0, 38, 61
13:29:48, 0, 44, 54
13:29:49, 0, 47, 54
13:29:50, 0, 57, 35
13:29:51, 0, 75, 41
13:29:52, 0, 70, 37
13:29:53, 0, 61, 48
13:29:54, 0, 51, 67
13:29:55, 0, 44, 67
13:29:56, 0, 57, 80
13:29:57, 0, 54, 74
13:29:58, 0, 57, 74
13:29:59, 0, 43, 67
13:30:00, 0, 34, 75
13:30:01, 0, 38, 77
13:30:02, 0, 34, 75
13:30:03, 0, 44, 74
13:30:04, 0, 51, 74
13:30:05, 0, 51, 83
13:30:06, 0, 53, 77
13:30:07, 0, 54, 91
13:30:08, 0, 47, 80
13:30:09, 0, 48, 77
13:30:10, 0, 54, 83
13:30:11, 0, 50, 75
13:30:12, 0, 50, 80
13:30:13, 0, 50, 75
13:30:14, 0, 38, 61
13:30:15, 0, 53, 60
13:30:16, 0, 51, 67
13:30:17, 0, 43, 70
13:30:18, 0, 53, 87
13:30:19, 0, 43, 87
13:30:20, 0, 51, 80
13:30:21, 0, 63, 83
13:30:22, 0, 56, 74
13:30:22, 0, 56, 74
13:30:23, 0, 54, 77
13:30:24, 0, 53, 69
13:30:25, 0, 57, 67
13:30:26, 0, 61, 67
13:30:27, 0, 63, 67
13:30:28, 0, 56, 69
13:30:29, 0, 64, 75
13:30:30, 0, 54, 69
13:30:31, 0, 50, 61
13:30:32, 0, 40, 74
13:30:33, 0, 35, 83
13:30:34, 0, 40, 74
13:30:35, 0, 30, 67
13:30:36, 0, 47, 56
13:30:37, 0, 54, 43
13:30:38, 0, 61, 60
13:30:39, 26, 61, 60
13:30:40, 26, 61, 60
13:30:41, 0, 70, 64
13:30:42, 0, 54, 69
13:30:43, 0, 43, 70
13:30:44, 0, 44, 66
13:30:45, 0, 53, 69
13:30:46, 0, 67, 66
13:30:47, 0, 74, 64
13:30:48, 0, 74, 56
13:30:49, 0, 63, 53
13:30:50, 0, 56, 56
13:30:51, 0, 48, 64
13:30:52, 0, 41, 67
13:30:53, 0, 41, 74
13:30:54, 0, 43, 70
13:30:55, 0, 48, 67
13:30:56, 0, 50, 70
13:30:57, 0, 40, 70
13:30:58, 0, 40, 75
13:30:59, 0, 44, 81
13:31:00, 0, 38, 87
13:31:01, 0, 41, 90
13:31:02, 0, 26, 87
13:31:03, 0, 16, 96
13:31:04, 0, 24, 93
13:31:05, 0, 30, 94
13:31:06, 0, 41, 100
13:31:07, 0, 43, 87
13:31:08, 0, 44, 77
13:31:09, 0, 47, 80
13:31:10, 0, 54, 78
13:31:11, 0, 57, 84
13:31:12, 0, 56, 96
13:31:13, 0, 56, 80
13:31:14, 0, 48, 78
13:31:15, 0, 53, 66
13:31:16, 0, 44, 74
13:31:17, 0, 50, 84
13:31:18, 0, 53, 81
13:31:19, 0, 51, 90
13:31:20, 0, 44, 91
13:31:21, 0, 30, 100
13:31:22, 0, 30, 83
13:31:23, 0, 35, 75
13:31:24, 0, 47, 70
13:31:25, 0, 56, 70
13:31:26, 0, 47, 93
13:31:27, 0, 44, 91
13:31:28, 0, 38, 91
13:31:29, 0, 27, 70
13:31:30, 0, 20, 53
13:31:31, 0, 14, 56
13:31:32, 0, 24, 51
13:31:33, 0, 24, 43
13:31:34, 0, 44, 50
13:31:35, 0, 47, 48
13:31:36, 0, 37, 47
13:31:37, 0, 34, 61
13:31:38, 0, 23, 78
13:31:39, 0, 26, 80
13:31:40, 0, 35, 80
13:31:41, 0, 47, 80
13:31:42, 0, 66, 69
13:31:43, 0, 51, 69
13:31:44, 0, 61, 74
13:31:45, 0, 61, 77
13:31:46, 0, 60, 70
13:31:47, 0, 75, 70
13:31:48, 0, 75, 70
13:31:49, 0, 80, 69
13:31:50, 0, 64, 75
13:31:51, 0, 54, 61
13:31:52, 0, 47, 57
13:31:53, 0, 37, 56
13:31:54, 0, 41, 63
13:31:55, 0, 53, 61
13:31:56, 0, 48, 63
13:31:57, 0, 44, 51
13:31:58, 0, 40, 47
13:31:59, 0, 40, 51
13:32:00, 0, 51, 47
13:32:01, 0, 57, 44
13:32:02, 0, 66, 43
13:32:03, 0, 56, 57
13:32:04, 0, 48, 67
13:32:05, 0, 54, 83
13:32:06, 0, 47, 96
13:32:07, 0, 56, 88
13:32:08, 0, 67, 63
13:32:09, 0, 78, 61
13:32:10, 0, 93, 50
13:32:11, 0, 94, 38
13:32:12, 0, 91, 38
13:32:13, 0, 83, 41
13:32:14, 0, 77, 47
13:32:15, 0, 69, 56
13:32:16, 0, 56, 77
13:32:17, 0, 48, 74
13:32:18, 0, 44, 69
13:32:19, 0, 44, 61
13:32:20, 0, 57, 53
13:32:21, 0, 67, 53
13:32:22, 0, 66, 44
13:32:23, 0, 69, 57
13:32:24, 0, 63, 75
13:32:25, 0, 60, 83
13:32:26, 0, 54, 100
13:32:27, 0, 48, 100
13:32:28, 0, 40, 96
13:32:29, 0, 44, 80
13:32:30, 0, 61, 60
13:32:31, 0, 63, 51
13:32:32, 0, 69, 54
13:32:33, 0, 64, 69
13:32:34, 0, 60, 81
13:32:35, 0, 64, 88
13:32:36, 0, 63, 81
13:32:37, 0, 66, 64
13:32:38, 0, 54, 51
13:32:39, 0, 43, 40
13:32:40, 0, 50, 48
13:32:41, 0, 50, 47
13:32:42, 0, 57, 61
13:32:43, 0, 74, 67
13:32:44, 0, 67, 64
13:32:45, 0, 67, 75
13:32:46, 0, 67, 70
13:32:47, 0, 70, 75
13:32:48, 0, 67, 81
13:32:49, 0, 66, 83
13:32:50, 0, 63, 78
13:32:51, 0, 57, 66
13:32:52, 0, 57, 41
13:32:53, 0, 51, 23
13:32:54, 0, 54, 11
13:32:55, 0, 51, 24
13:32:56, 0, 57, 41
13:32:57, 0, 63, 53
13:32:58, 0, 63, 77
13:32:59, 0, 66, 74
13:33:00, 0, 70, 67
13:33:01, 0, 69, 74
13:33:02, 0, 77, 57
13:33:03, 0, 64, 54
13:33:04, 0, 57, 70
13:33:05, 0, 61, 70
13:33:06, 0, 37, 69
13:33:07, 0, 41, 78
13:33:08, 0, 43, 61
13:33:09, 0, 48, 50
13:33:10, 0, 57, 56
13:33:11, 0, 60, 54
13:33:12, 0, 66, 56
13:33:13, 0, 63, 70
13:33:14, 0, 67, 53
13:33:15, 0, 74, 53
13:33:16, 0, 61, 63
13:33:17, 0, 63, 51
13:33:18, 0, 60, 74
13:33:19, 0, 60, 67
13:33:20, 0, 56, 50
13:33:21, 0, 60, 47
13:33:22, 0, 69, 43
13:33:23, 0, 67, 60
13:33:24, 0, 80, 77
13:33:25, 0, 70, 81
13:33:26, 0, 66, 70
13:33:27, 0, 67, 56
13:33:28, 0, 69, 54
13:33:29, 0, 74, 48
13:33:30, 0, 84, 56
13:33:31, 0, 74, 63
13:33:32, 0, 70, 53
13:33:33, 0, 69, 63
13:33:34, 0, 70, 60
13:33:35, 0, 81, 61
13:33:36, 0, 75, 66
13:33:37, 0, 70, 50
13:33:38, 0, 63, 50
13:33:39, 0, 67, 34
13:33:40, 0, 87, 35
13:33:40, 0, 87, 53
13:33:41, 0, 81, 50
13:33:42, 0, 70, 56
13:33:43, 0, 64, 50
13:33:44, 0, 81, 40
13:33:45, 0, 78, 50
13:33:46, 0, 78, 61
13:33:47, 0, 77, 60
13:33:48, 0, 54, 54
13:33:49, 0, 77, 35
13:33:50, 0, 96, 13
13:33:51, 0, 91, 29
13:33:51, 0, 100, 38
13:33:52, 0, 87, 66
13:33:53, 0, 70, 84
13:33:54, 0, 74, 83
13:33:55, 0, 77, 90
13:33:56, 0, 87, 81
13:33:57, 0, 69, 69
13:33:58, 0, 44, 50
13:34:00, 0, 47, 40
13:34:01, 0, 30, 43
13:34:02, 0, 43, 51
13:34:03, 0, 61, 63
13:34:04, 0, 53, 69
13:34:05, 0, 48, 56
13:34:06, 0, 53, 48
13:34:07, 0, 48, 54
13:34:08, 0, 29, 48
13:34:09, 0, 37, 57
13:34:10, 0, 30, 69
13:34:11, 0, 40, 64
13:34:12, 0, 50, 81
13:34:13, 0, 57, 67
13:34:14, 0, 56, 64
13:34:15, 0, 53, 69
13:34:16, 0, 69, 53
13:34:17, 0, 57, 74
13:34:18, 0, 54, 69
13:34:19, 0, 64, 74
13:34:20, 0, 53, 80
13:34:21, 0, 47, 66
13:34:22, 0, 44, 70
13:34:23, 0, 40, 75
13:34:24, 0, 38, 77
13:34:25, 0, 48, 80
13:34:26, 0, 53, 74
13:34:27, 0, 43, 64
13:34:28, 0, 44, 64
13:34:29, 0, 54, 66
13:34:30, 0, 54, 56
13:34:31, 0, 64, 63
13:34:32, 0, 56, 67
13:34:33, 0, 51, 67
13:34:34, 0, 54, 83
13:34:35, 0, 53, 74
13:34:36, 0, 66, 70
13:34:37, 0, 57, 64
13:34:38, 0, 53, 57
13:34:39, 0, 54, 67
13:34:40, 0, 43, 47
13:34:41, 0, 54, 51
13:34:42, 0, 56, 44
13:34:43, 0, 47, 48
13:34:44, 0, 57, 64
13:34:45, 0, 53, 60
13:34:46, 0, 51, 61
13:34:47, 0, 60, 54
13:34:48, 0, 44, 47
13:34:49, 0, 44, 56
13:34:50, 0, 35, 50
13:34:51, 0, 43, 43
13:34:52, 0, 54, 50
13:34:53, 0, 60, 41
13:34:54, 0, 70, 61
13:34:55, 0, 57, 51
13:34:56, 0, 41, 41
13:34:57, 0, 34, 48
13:34:58, 0, 40, 35
13:34:59, 0, 34, 30
13:35:00, 0, 29, 26
13:35:01, 0, 13, 14
13:35:02, 0, 1, 16
13:35:03, 0, 10, 17
13:35:04, 0, 24, 24
13:35:05, 0, 41, 29
13:35:06, 0, 54, 44
13:35:07, 0, 50, 57
13:35:08, 0, 47, 66
13:35:09, 0, 47, 70
13:35:10, 0, 41, 56
13:35:11, 0, 63, 50
13:35:12, 0, 64, 51
13:35:13, 0, 70, 51
13:35:14, 0, 67, 48
13:35:15, 0, 47, 66
13:35:16, 0, 37, 63
13:35:17, 0, 37, 69
13:35:18, 0, 26, 66
13:35:19, 0, 30, 50
13:35:20, 0, 43, 50
13:35:21, 0, 47, 43
13:35:22, 0, 56, 61
13:35:23, 0, 67, 67
13:35:24, 0, 80, 74
13:35:25, 0, 67, 80
13:35:26, 0, 64, 64
13:35:27, 0, 48, 61
13:35:28, 0, 35, 63
13:35:29, 0, 21, 66
13:35:30, 0, 21, 75
13:35:31, 0, 16, 80
13:35:32, 0, 8, 63
13:35:33, 0, 16, 53
13:35:34, 0, 8, 51
13:35:35, 0, 8, 44
13:35:36, 0, 21, 44
13:35:37, 0, 30, 51
13:35:38, 0, 51, 47
13:35:39, 0, 64, 51
13:35:40, 0, 64, 66
13:35:41, 0, 61, 50
13:35:42, 0, 63, 50
13:35:43, 0, 67, 56
13:35:44, 0, 53, 38
13:35:45, 0, 70, 38
13:35:46, 0, 56, 61
13:35:47, 0, 41, 48
13:35:48, 0, 56, 66
13:35:49, 0, 38, 84
13:35:50, 0, 40, 54
13:35:51, 0, 41, 50
13:35:52, 0, 44, 37
13:35:53, 0, 43, 34
13:35:54, 0, 43, 40
13:35:55, 0, 67, 44
13:35:56, 0, 70, 48
13:35:57, 0, 78, 37
13:35:58, 0, 83, 41
13:35:59, 0, 57, 43
13:36:00, 0, 53, 43
13:36:01, 0, 43, 57
13:36:02, 0, 34, 47
13:36:03, 0, 24, 41
13:36:04, 0, 27, 51
13:36:05, 0, 41, 37
13:36:06, 0, 43, 48
13:36:07, 0, 57, 63
13:36:08, 0, 47, 48
13:36:09, 0, 37, 47
13:36:10, 0, 47, 35
13:36:11, 0, 40, 23
13:36:12, 0, 41, 43
13:36:13, 0, 51, 51
13:36:14, 0, 40, 50
13:36:15, 0, 50, 50
13:36:16, 0, 43, 17
13:36:17, 0, 29, 27
13:36:18, 0, 44, 44
13:36:19, 0, 48, 57
13:36:20, 0, 56, 78
13:36:21, 0, 60, 66
13:36:22, 0, 53, 61
13:36:23, 0, 34, 53
13:36:24, 0, 40, 43
13:36:25, 0, 35, 43
13:36:26, 0, 35, 41
13:36:27, 0, 51, 44
13:36:28, 0, 37, 44
13:36:29, 0, 48, 47
13:36:30, 0, 35, 30
13:36:31, 0, 26, 30
13:36:32, 0, 29, 47
13:36:33, 0, 13, 40
13:36:34, 0, 14, 54
13:36:35, 0, 7, 44
13:36:36, 0, 7, 30
13:36:37, 0, 11, 27
13:36:38, 0, 35, 29
13:36:39, 0, 47, 37
13:36:40, 0, 61, 20
13:36:41, 0, 70, 26
13:36:42, 0, 61, 20
13:36:43, 0, 56, 24
13:36:44, 0, 44, 50
13:36:45, 0, 29, 47
13:36:46, 0, 24, 51
13:36:47, 0, 35, 48
13:36:48, 0, 38, 38
13:36:49, 0, 43, 40
13:36:50, 0, 38, 38
13:36:51, 0, 34, 26
13:36:52, 0, 21, 30
13:36:53, 0, 24, 29
13:36:54, 0, 21, 30
13:36:55, 0, 23, 37
13:36:56, 0, 40, 24
13:36:56, 0, 38, 29
13:36:58, 0, 50, 29
13:36:58, 0, 56, 29
13:36:59, 0, 44, 43
13:37:00, 0, 54, 47
13:37:01, 0, 44, 43
13:37:02, 0, 48, 43
13:37:03, 0, 57, 41
13:37:04, 0, 51, 35
13:37:05, 0, 63, 41
13:37:06, 0, 75, 38
13:37:07, 0, 78, 24
13:37:08, 0, 80, 37
13:37:09, 0, 74, 41
13:37:10, 0, 53, 54
13:37:11, 0, 35, 64
13:37:12, 0, 26, 56
13:37:13, 0, 23, 41
13:37:14, 0, 16, 27
13:37:15, 0, 14, 27
13:37:16, 0, 8, 20
13:37:17, 0, 4, 23
13:37:18, 0, 13, 38
13:37:19, 0, 17, 41
13:37:20, 0, 26, 56
13:37:21, 0, 38, 63
13:37:22, 0, 40, 61
13:37:23, 0, 37, 41
13:37:24, 0, 35, 37
13:37:25, 0, 27, 23
13:37:26, 0, 17, 24
13:37:27, 0, 24, 47
13:37:28, 0, 26, 50
13:37:29, 0, 30, 56
13:37:30, 0, 40, 47
13:37:31, 0, 40, 44
13:37:32, 0, 34, 26
13:37:33, 0, 34, 20
13:37:34, 0, 40, 27
13:37:35, 0, 38, 17
13:37:36, 0, 38, 30
13:37:37, 0, 40, 21
13:37:38, 0, 34, 20
13:37:39, 0, 35, 8
13:37:40, 0, 37, 14
13:37:41, 0, 47, 24
13:37:42, 0, 48, 23
13:37:43, 0, 56, 38
13:37:44, 0, 67, 29
13:37:45, 0, 67, 38
13:37:46, 0, 70, 47
