timeperiod,productivity bursts,commits,authors
1930,#909090,32,2
1935,#909090,9,3
1940,#909090,19,2
1945,#909090,15,4
1950,#909090,4,3
1955,#909090,24,6
1960,#909090,62,11
1965,#909090,60,9
1970,#909090,61,10
1975,#909090,87,10
1980,#909090,63,9
1985,#909090,92,9
1990,#909090,38,3
1995,#909090,52,6
2000,#909090,67,9
2005,#909090,50,9
2010,#909090,36,9
2015,#909090,34,6
2020,#909090,27,8
2025,#909090,31,3
2030,#909090,29,5
2035,#909090,33,9
2040,#909090,26,5
2045,#909090,40,8
2050,#909090,22,7
2055,#909090,0,0
2060,#909090,80,7
2065,#909090,3,2
2070,#909090,34,5
2075,#909090,76,3
2080,#909090,26,5
2085,#909090,49,4
2090,#909090,11,4
2090,#909090,0,0
