Time,john,thomas,vaidy
00:09:41, 61, 74, 44
00:09:42, 63, 64, 54
00:09:43, 60, 60, 54
00:09:44, 60, 63, 54
00:09:45, 56, 64, 60
00:09:46, 60, 53, 56
00:09:47, 69, 56, 56
00:09:48, 67, 51, 64
00:09:49, 80, 48, 66
00:09:50, 70, 56, 80
00:09:51, 66, 44, 83
00:09:52, 67, 44, 67
00:09:53, 69, 53, 69
00:09:54, 74, 57, 53
00:09:55, 84, 63, 50
00:09:56, 74, 64, 64
00:09:57, 70, 51, 60
00:09:58, 69, 56, 44
00:09:59, 70, 64, 41
00:10:00, 81, 61, 30
00:10:01, 75, 70, 37
00:10:02, 70, 56, 47
00:10:03, 63, 41, 66
00:10:04, 67, 27, 67
00:10:05, 87, 34, 60
00:10:05, 87, 14, 64
00:10:06, 81, 20, 40
00:10:07, 70, 27, 50
00:10:08, 64, 24, 61
00:10:09, 81, 51, 61
00:10:10, 78, 50, 77
00:10:11, 78, 57, 67
00:10:12, 77, 60, 60
00:10:13, 54, 41, 47
00:10:14, 77, 27, 43
00:10:15, 96, 34, 41
00:10:16, 91, 17, 44
00:10:16, 100, 13, 47
00:10:17, 87, 29, 35
00:10:18, 70, 7, 38
00:10:19, 74, 13, 40
00:10:20, 77, 37, 30
00:10:21, 87, 26, 47
00:10:22, 69, 43, 51
00:10:23, 44, 43, 44
00:10:25, 47, 53, 53
00:10:26, 30, 50, 44
00:10:27, 43, 61, 29
00:10:28, 61, 63, 38
00:10:29, 53, 48, 41
00:10:30, 48, 53, 47
00:10:31, 53, 41, 48
00:10:32, 48, 34, 38
00:10:33, 29, 34, 41
00:10:34, 37, 40, 26
00:10:35, 30, 35, 26
00:10:36, 40, 37, 20
00:10:37, 50, 35, 17
00:10:38, 57, 30, 23
00:10:39, 56, 37, 26
00:10:40, 53, 40, 38
00:10:41, 69, 43, 40
00:10:42, 57, 40, 37
00:10:43, 54, 37, 34
00:10:44, 64, 44, 35
00:10:45, 53, 51, 37
00:10:46, 47, 56, 43
00:10:47, 44, 51, 54
00:10:48, 40, 38, 54
00:10:49, 38, 44, 63
00:10:50, 48, 41, 61
00:10:51, 53, 67, 60
00:10:52, 43, 78, 64
00:10:53, 44, 60, 64
00:10:54, 54, 67, 60
00:10:55, 54, 44, 57
00:10:56, 64, 29, 47
00:10:57, 56, 51, 38
00:10:58, 51, 54, 60
00:10:59, 54, 60, 54
00:11:00, 53, 66, 67
00:11:01, 66, 44, 78
00:11:02, 57, 34, 80
00:11:03, 53, 27, 87
00:11:04, 54, 34, 77
00:11:05, 43, 37, 74
00:11:06, 54, 37, 60
00:11:07, 56, 48, 64
00:11:08, 47, 48, 67
00:11:09, 57, 51, 67
00:11:10, 53, 50, 64
00:11:11, 51, 44, 61
00:11:12, 60, 61, 64
00:11:13, 44, 61, 57
00:11:14, 44, 66, 48
00:11:15, 35, 63, 44
00:11:16, 43, 43, 53
00:11:17, 54, 40, 53
00:11:18, 60, 43, 74
00:11:19, 70, 48, 74
00:11:20, 57, 51, 54
00:11:21, 41, 66, 63
00:11:22, 34, 67, 53
00:11:23, 40, 69, 48
00:11:24, 34, 74, 57
00:11:25, 29, 60, 60
00:11:26, 13, 69, 64
00:11:27, 1, 63, 75
00:11:28, 10, 61, 83
00:11:29, 24, 54, 70
00:11:30, 41, 41, 61
00:11:31, 54, 50, 44
00:11:32, 50, 27, 20
00:11:33, 47, 38, 27
00:11:34, 47, 30, 26
00:11:35, 41, 23, 38
00:11:36, 63, 43, 51
00:11:37, 64, 57, 40
00:11:38, 70, 61, 44
00:11:39, 67, 67, 41
00:11:40, 47, 70, 23
00:11:41, 37, 61, 34
00:11:42, 37, 54, 17
00:11:43, 26, 53, 17
00:11:44, 30, 44, 38
00:11:45, 43, 47, 38
00:11:46, 47, 50, 57
00:11:47, 56, 43, 50
00:11:48, 67, 61, 37
00:11:49, 80, 56, 40
00:11:50, 67, 64, 43
00:11:51, 64, 64, 74
00:11:52, 48, 50, 83
00:11:53, 35, 51, 83
00:11:54, 21, 57, 88
00:11:55, 21, 66, 75
00:11:56, 16, 77, 78
00:11:57, 8, 77, 69
00:11:58, 16, 54, 67
00:11:59, 8, 44, 66
00:12:00, 8, 30, 66
00:12:01, 21, 30, 75
00:12:02, 30, 53, 64
00:12:03, 51, 50, 64
00:12:04, 64, 50, 48
00:12:05, 64, 43, 48
00:12:06, 61, 29, 53
00:12:07, 63, 47, 54
00:12:08, 67, 56, 56
00:12:09, 53, 64, 56
00:12:10, 70, 67, 54
00:12:11, 56, 66, 63
00:12:12, 41, 56, 78
00:12:13, 56, 41, 75
00:12:14, 38, 44, 78
00:12:15, 40, 29, 61
00:12:16, 41, 35, 61
00:12:17, 44, 51, 51
00:12:18, 43, 47, 43
00:12:19, 43, 74, 43
00:12:20, 67, 78, 30
00:12:21, 70, 75, 43
00:12:22, 78, 91, 41
00:12:23, 83, 87, 43
00:12:24, 57, 84, 53
00:12:25, 53, 88, 50
00:12:26, 43, 69, 56
00:12:27, 34, 67, 56
00:12:28, 24, 63, 56
00:12:29, 27, 67, 48
00:12:30, 41, 67, 61
00:12:31, 43, 44, 67
00:12:32, 57, 35, 48
00:12:33, 47, 34, 57
00:12:34, 37, 34, 57
00:12:35, 47, 43, 61
00:12:36, 40, 48, 74
00:12:37, 41, 56, 77
00:12:38, 51, 75, 66
00:12:39, 40, 64, 63
00:12:40, 50, 81, 64
00:12:41, 43, 70, 57
00:12:42, 29, 61, 64
00:12:43, 44, 88, 63
00:12:44, 48, 88, 74
00:12:45, 56, 88, 66
00:12:46, 60, 77, 57
00:12:47, 53, 80, 44
00:12:48, 34, 90, 37
00:12:49, 40, 84, 43
00:12:50, 35, 81, 40
00:12:51, 35, 60, 51
00:12:52, 51, 48, 51
00:12:53, 37, 48, 48
00:12:54, 48, 48, 51
00:12:55, 35, 37, 53
00:12:56, 26, 21, 51
00:12:57, 29, 14, 35
00:12:58, 13, 24, 38
00:12:59, 14, 43, 38
00:13:00, 7, 40, 56
00:13:01, 7, 47, 70
00:13:02, 11, 56, 80
00:13:03, 35, 74, 81
00:13:04, 47, 100, 80
00:13:05, 61, 88, 90
00:13:06, 70, 61, 83
00:13:07, 61, 57, 75
00:13:08, 56, 38, 70
00:13:09, 44, 53, 56
00:13:10, 29, 56, 54
00:13:11, 24, 50, 57
00:13:12, 35, 35, 64
00:13:13, 38, 23, 75
00:13:14, 43, 29, 70
00:13:15, 38, 13, 80
00:13:16, 34, 26, 57
00:13:17, 21, 38, 53
00:13:18, 24, 40, 48
00:13:19, 21, 48, 40
00:13:20, 23, 51, 60
00:13:21, 40, 38, 60
00:13:21, 38, 41, 77
00:13:23, 50, 30, 61
00:13:23, 56, 35, 53
00:13:24, 44, 37, 47
00:13:25, 54, 29, 26
00:13:26, 44, 44, 30
00:13:27, 48, 38, 17
00:13:28, 57, 53, 35
00:13:29, 51, 47, 54
00:13:30, 63, 61, 54
00:13:31, 75, 56, 54
00:13:32, 78, 47, 41
00:13:33, 80, 61, 27
00:13:34, 74, 61, 38
00:13:35, 53, 66, 56
00:13:36, 35, 70, 69
00:13:37, 26, 67, 70
00:13:38, 23, 51, 63
00:13:39, 16, 48, 53
00:13:40, 14, 41, 35
00:13:41, 8, 35, 16
00:13:42, 4, 40, 8
00:13:43, 13, 41, 7
00:13:44, 17, 51, 11
00:13:45, 26, 43, 21
00:13:46, 38, 37, 37
00:13:47, 40, 41, 24
00:13:48, 37, 35, 24
00:13:49, 35, 53, 43
00:13:50, 27, 50, 54
00:13:51, 17, 43, 61
00:13:52, 24, 48, 53
00:13:53, 26, 37, 41
00:13:54, 30, 37, 37
00:13:55, 40, 40, 48
00:13:56, 40, 41, 60
00:13:57, 34, 37, 63
00:13:58, 34, 35, 44
00:13:59, 40, 40, 43
