Time,john,thomas,vaidy
00:05:53, 74, 57, 61
00:05:54, 67, 61, 70
00:05:55, 57, 34, 61
00:05:56, 64, 29, 50
00:05:57, 51, 26, 63
00:05:58, 57, 27, 53
00:05:59, 63, 30, 44
00:06:00, 56, 51, 67
00:06:01, 38, 50, 40
00:06:02, 17, 37, 34
00:06:03, 30, 48, 41
00:06:04, 43, 30, 43
00:06:05, 66, 43, 53
00:06:06, 87, 54, 75
00:06:07, 80, 60, 81
00:06:08, 64, 70, 83
00:06:09, 61, 67, 84
00:06:10, 50, 60, 75
00:06:11, 57, 60, 69
00:06:12, 61, 50, 69
00:06:13, 54, 44, 69
00:06:14, 54, 54, 61
00:06:15, 35, 43, 64
00:06:16, 41, 44, 61
00:06:17, 37, 54, 69
00:06:18, 48, 48, 80
00:06:19, 67, 63, 78
00:06:20, 67, 69, 77
00:06:21, 80, 56, 70
00:06:22, 74, 43, 69
00:06:23, 74, 44, 64
00:06:24, 67, 23, 67
00:06:25, 75, 37, 56
00:06:26, 77, 54, 50
00:06:27, 75, 44, 61
00:06:28, 74, 57, 63
00:06:29, 74, 53, 83
00:06:30, 83, 61, 84
00:06:31, 77, 63, 74
00:06:32, 91, 61, 77
00:06:33, 80, 61, 51
00:06:34, 77, 27, 54
00:06:35, 83, 23, 57
00:06:36, 75, 27, 54
00:06:37, 80, 21, 69
00:06:38, 75, 41, 63
00:06:39, 61, 43, 70
00:06:40, 60, 41, 75
00:06:41, 67, 47, 77
00:06:42, 70, 51, 90
00:06:43, 87, 70, 64
00:06:44, 87, 83, 41
00:06:45, 80, 83, 43
00:06:46, 83, 88, 41
00:06:47, 74, 87, 56
00:06:47, 74, 70, 69
00:06:48, 77, 74, 67
00:06:49, 69, 50, 64
00:06:50, 67, 48, 74
00:06:51, 67, 54, 77
00:06:52, 67, 43, 78
00:06:53, 69, 69, 81
00:06:54, 75, 64, 67
00:06:55, 69, 61, 64
00:06:56, 61, 51, 56
00:06:57, 74, 40, 48
00:06:58, 83, 44, 51
00:06:59, 74, 40, 41
00:07:00, 67, 48, 43
00:07:01, 56, 48, 48
00:07:02, 43, 41, 47
00:07:03, 60, 47, 54
00:07:04, 60, 61, 66
00:07:05, 60, 78, 78
00:07:06, 64, 83, 90
00:07:07, 69, 80, 90
00:07:08, 70, 64, 87
00:07:09, 66, 63, 77
00:07:10, 69, 66, 57
00:07:11, 66, 53, 60
00:07:12, 64, 63, 60
00:07:13, 56, 67, 40
00:07:14, 53, 64, 44
00:07:15, 56, 64, 35
00:07:16, 64, 51, 41
00:07:17, 67, 37, 60
00:07:18, 74, 38, 61
00:07:19, 70, 56, 75
00:07:20, 67, 60, 67
00:07:21, 70, 70, 60
00:07:22, 70, 83, 63
00:07:23, 75, 90, 56
00:07:24, 81, 96, 48
00:07:25, 87, 88, 66
00:07:26, 90, 75, 69
00:07:27, 87, 61, 63
00:07:28, 96, 66, 70
00:07:29, 93, 60, 67
00:07:30, 94, 61, 61
00:07:31, 100, 61, 51
00:07:32, 87, 50, 57
00:07:33, 77, 53, 44
00:07:34, 80, 56, 63
00:07:35, 78, 48, 80
00:07:36, 84, 56, 80
00:07:37, 96, 61, 93
00:07:38, 80, 69, 81
00:07:39, 78, 80, 78
00:07:40, 66, 61, 67
00:07:41, 74, 70, 78
00:07:42, 84, 63, 81
00:07:43, 81, 70, 87
00:07:44, 90, 87, 87
00:07:45, 91, 83, 67
00:07:46, 100, 77, 66
00:07:47, 83, 67, 67
00:07:48, 75, 67, 61
00:07:49, 70, 57, 53
00:07:50, 70, 53, 57
00:07:51, 93, 53, 48
00:07:52, 91, 63, 51
00:07:53, 91, 57, 54
00:07:54, 70, 53, 50
00:07:55, 53, 44, 56
00:07:56, 56, 27, 60
00:07:57, 51, 29, 66
00:07:58, 43, 37, 63
00:07:59, 50, 26, 56
00:08:00, 48, 47, 57
00:08:01, 47, 44, 60
00:08:02, 61, 44, 53
00:08:03, 78, 74, 57
00:08:04, 80, 64, 48
00:08:05, 80, 61, 40
00:08:06, 80, 63, 50
00:08:07, 69, 50, 43
00:08:08, 69, 47, 50
00:08:09, 74, 60, 64
00:08:10, 77, 63, 64
00:08:11, 70, 67, 81
00:08:12, 70, 66, 81
00:08:13, 70, 57, 67
00:08:14, 69, 53, 75
00:08:15, 75, 38, 69
00:08:16, 61, 38, 80
00:08:17, 57, 38, 80
00:08:18, 56, 29, 69
00:08:19, 63, 48, 64
00:08:20, 61, 60, 44
00:08:21, 63, 67, 48
00:08:22, 51, 70, 54
00:08:23, 47, 57, 51
00:08:24, 51, 44, 56
00:08:25, 47, 35, 56
00:08:26, 44, 38, 41
00:08:27, 43, 47, 40
00:08:28, 57, 48, 54
00:08:29, 67, 54, 57
00:08:30, 83, 51, 63
00:08:31, 96, 70, 78
00:08:32, 88, 70, 70
00:08:33, 63, 60, 66
00:08:34, 61, 75, 48
00:08:35, 50, 60, 26
00:08:36, 38, 61, 27
00:08:37, 38, 69, 37
00:08:38, 41, 61, 61
00:08:39, 47, 47, 70
00:08:40, 56, 50, 74
00:08:41, 77, 41, 69
00:08:42, 74, 44, 66
00:08:43, 69, 57, 67
00:08:44, 61, 51, 74
